"Description","Count"
"west wing tour for 3:15pm",3
"west wing tour dob reclear",3
"west wing tour dir",3
"west wing tour delete u33869 these participants are moving to an earlier tour appointment time",3
"west wing tour correction to u96585#378850",3
"west wing tour confirmed sunday june 5 2011 for 3 guests",3
"west wing tour confirmed for 8:20pm for 4 guests",3
"west wing tour confirmed for 8:15 for 3 guests",3
"west wing tour confirmed for 4:45pm",3
"west wing tour bill weber",3
"west wing tour appt approved on the schedule for 1345 3jul11",3
"west wing tour already been approved on the wh tour calendar site",3
"west wing tour additional attendees",3
"west wing tour 5:30pm",3
"west wing tour 4/16@3:55pm",3
"west wing tour 12/10",3
"west wing tour /per daniel brundage lauren kelly has access to this u#",3
"west wing tour // time change per teresa peterson",3
"west wing tour // canceled per patricia gamby",3
"west wing tour / date change per p. monterio time change per p monteiro",3
"west wing tour . names are releasable",3
"west wing tour . just received the information for the tour",3
"west wing tour * a reserved selfguided tour of the white house is confirmed for reginia grider",3
"west wing tour (tour slot requested by rod owens staff escort will be nnaji campbell)",3
"west wing tour (mr. stukenbroeker could not find the u number so asked that this be waved in again just in case)",3
"west wing tour ( please delete previous submission for this date. there was a misspelling on one of the guests names)",3
"west wing tour -hayden kantor",3
"west wing tour - one of the visitors is 93 yrs old and may need a wheelchair. thank you",3
"west wing tour - james rising is point of contact",3
"west wing tour-date change at request of the person to be visited. 6/22 @ 20:08",3
"west wing full names: rosa carolina sandoval correa de kroeger and santiago benicio kroeger sandoval",3
"west wing arrival",3
"west exec entrance east exec closed",3
"weekly meeting",3
"weekly deputies meetings on health care",3
"we are waiting to hear if there will be a vehicle",3
"we are having lunch in the wh mess (1200 seating)",3
"waves time expired",3
"wardroom",3
"wapa officials for eop briefing",3
"walkthrough",3
"waiting in lobby during meeting/ mcginnis deleted per nathaniel perkins",3
"waiting for mil badge",3
"waiting for blue mil badge approval",3
"vpotus will be in attendance as well",3
"vpotus recovery event",3
"volunteers are having lunch at ike's with a staffer",3
"visiting whmu neurology consultants",3
"visiting whmu medical specialty providers",3
"visiting wh athletic center",3
"visiting showing around work place",3
"visit with melody barnes followed by staffled west wing tour",3
"visit wh nave mess for coffee then the eeob gift shop and indian treaty room",3
"vip tour for rachel ray",3
"vice premier liu meeting",3
"vehicles to park on north drive and enter at 15 and e via the southeast vehicle gate",3
"ustr staff holiday party",3
"usss/pid personnel for country briefing to ppd",3
"use of the neob gym",3
"us senator and two staff",3
"us senator and staff",3
"us park police",3
"us navy military aide promotion ceremony to the rank of commander. potus will be the promotion officer. military aides family will attend",3
"us interpreter",3
"us congressman",3
"us congress and staff",3
"updated time per requester",3
"updated room per requester",3
"united states naval academy personnel delivering the trophy for presentation",3
"united state naval academy football players and guests attending the commander in chief trophy presentation",3
"uniform update meeting",3
"unexpected meeting with west contractors",3
"uganda bill signing, all members of congress",3
"u93782",3
"u56671",3
"u08028",3
"u#u66336appointment # 466465",3
"u#: u83212 meetnig moved from eeob to whsr",3
"u# u03316 appointment # 264491 one of the names was incorrect the first time entered. these 3 names should replace the other 3",3
"ttime location and room number changed per kelly miterko",3
"tsd retirement ceremony in eeob 230 ab. thank you",3
"truman bowling alley - eeob rm 037",3
"truman",3
"trick or teat event in the eeob",3
"traveling with vp",3
"training meeting",3
"training in coordination with ms angella reid previous appointment (#387290) starting at 0900 has been rescheduled for 1030 same day (this",3
"training in coordination with ms angella reid",3
"tours -reclears",3
"tours - vip",3
"tour of whca enob spaces",3
"tour for white house historical association sidey scholars",3
"time/date change per requestor/time change made at the request of e. haubrich",3
"time/bldg & room change per sonia sekhar",3
"time time per julianna groganbrown",3
"time room date change per langner",3
"time location and room change per kelly miterko",3
"time location and room change per kayla daniels",3
"time corrected per requestor",3
"time chng per m.alhassani",3
"time chg per passholder",3
"time chg per k.lieman",3
"time changer per joanne davenport",3
"time changed to 1700 per a. lynch. fd 12/7/11@ 1817",3
"time changed to 1530 per j.asen fd 2/13/12 @ 1753",3
"time changed per z. kelly",3
"time changed per the requestor @ 17478 on 7.30.12",3
"time changed per sylvia alakil",3
"time changed per patrick",3
"time changed per passholder. time changed again per david b",3
"time changed per mann 28th to 29th and 1600 to0930",3
"time changed per laura",3
"time changed per hai",3
"time changed per emily",3
"time changed per donald",3
"time changed per dominique",3
"time changed per debra/gk",3
"time changed per debra from 0900 to 1015",3
"time changed per ari",3
"time changed from 1630 to 1500 per lauren fabina. fd/yt 9/30/11 @ 0927 hrs",3
"time changed at the request of the person to be visited",3
"time change to 4:00 pm",3
"time change to 1300 hrs",3
"time change pr req",3
"time change per wenger",3
"time change per w. russo",3
"time change per victoria mccullough",3
"time change per tully/nan gibson former chief of staff and executive director of cea is coming back for her departure photo with potus",3
"time change per stone",3
"time change per sowders",3
"time change per sotingco",3
"time change per sheehy",3
"time change per sara feuerstein",3
"time change per sanchez",3
"time change per quinn fitzgerald",3
"time change per per rebecca grimm",3
"time change per page",3
"time change per p. moscoso",3
"time change per nelson",3
"time change per n. buffa",3
"time change per molly dillon",3
"time change per k. jin",3
"time change per joy paluska",3
"time change per jonathan a. dmc 1/4 @ 1653hrs. time changed per requestor from 1100hrs to 10:30hrs dk 1/5/12 0855hrs",3
"time change per jin",3
"time change per jacqueline koo",3
"time change per ford",3
"time change per e. schafer",3
"time change per e. alcantara",3
"time change per doumet to now appt",3
"time change per cynthia vandenberg",3
"time change per carter jla",3
"time change per c. mckay",3
"time change per brittany masalosalo",3
"time change per august jla",3
"time change per allison hunn",3
"time change per a. withers",3
"time change per a. staron to 16:30",3
"time change made by l. kelly",3
"time change made at the request of r. smith",3
"time change made at the request of r. grimm",3
"time change made at the request of m. schneider",3
"time change made at the request of m. page",3
"time change made at the request of m. carroll/time change made again at the request of m. carroll",3
"time change made at the request of k. jin",3
"time change made at the request of k. cahill",3
"time change made at the request of j. tiller",3
"time change made at the request of j. brooks",3
"time change made at the request of f. wright./location change made @ the request of f. wright",3
"time change made at the request of f. castro",3
"time change made at the request of e. schaefer",3
"time change made at the request of d. coleman",3
"time change made at the request of c. bodde",3
"time change made at the request of b. highsmith",3
"time change made at the request of a. kinn",3
"time change from u31147 thank you",3
"time change from 21:15 to 9:00 am per jamal pope. ec 11/15/11 @ 8:33 am",3
"time change at therequest of the requestor kdc 4/12@ 8:06",3
"time change at the request of the requestor. kdc11/20 @ 11:05",3
"time change at the request of the requestor. kdc 9/18 @ 14:16",3
"time change at the request of the requestor. kdc 6/25 @ 13:53",3
"time change at the request of the requestor. kdc 4/20@ 18/:48west wing tour",3
"time change at the request of the requestor. kdc 10/18 @ 16:36/time change at the request of d. coleman",3
"time and location changed per requestor",3
"time and date change per schafer",3
"time and date change",3
"time and change per requestor",3
"three people with dobs all off (two were the days off one was the year off)",3
"three additional names that were entered with incorrect dobs. thanks so much",3
"this will be to provide accupuncture training to the white house medical unit",3
"this will be for an east wing tour tomorrow saturday at 10:00am",3
"this waves request is for the air force honor guard members that will be at msgt olewniks retirement ceremony",3
"this request is for the marine one return ceremony",3
"this meeting will occur in the apnsa ste/time change made at the request of j. murphy",3
"this is was west wing tour",3
"this is the floor where new renovations were completed. the conference room number for this neob 5th floor room is 551",3
"this is just resubmitting u#80231 for a new (later) time. exact same information",3
"this is for a west wing tour.**",3
"this is for a west wing tour. thank you! ari**",3
"this is for a presentation that will take place in the back lobby of the neob",3
"this is a rewaive of u#77453 for an hour later as the appointment had to shift because of potus schedule. thanks",3
"this is a new waves request to replace a previous request (**#u08267) which can be deleted",3
"this is a meeting with jon carson",3
"this is a meeting with hhs and cecilia munoz",3
"this is a meeting with cecilia/updated time and date per requestor",3
"this is a meetin with cecilia munoz",3
"this is a late substitution to the jewish community leaders briefing tomorrow. thank you",3
"this is a large meeting with mmigration advocates. no potus",3
"this is a departure photo for susannah mrazek. her husband father and brother will also be attending",3
"this appointment is in addition to #u72484 / appt # 349387 as the attendees will need to leave the building and reenter between appointment",3
"they will have to come in through the nw press gate due to oversize video cameras. please let me know if that will be an issue",3
"they will come in through southwest gate",3
"they will be holding in ww lobby",3
"they were already cleared in for 12:15 but their appointment time changed to 1:30",3
"they are in the system but first legal name is listed as last and their middle name was listed as first. serious mix up!",3
"they are going to enter from the east wing and be escorted to the west wing by sean kennedy blue badge holder",3
"these visitors were not cleared in by dr. brzezinskis office on friday",3
"these should be for the northeast gate.thanks!",3
"these participants are accompanying labor secretary hilda solis (cabinet member). i am seeking clearance despite the 24-hour rule. i would g",3
"these individuals will be arriving in two vehicles at the southeast gate. the vehicle information has been submitted to the ushers and usss",3
"these individuals will accompany governor doyle tomorrow. there is an 11:15 am meeting with patrick gaspard and then a noon lunch with davi",3
"these guests will attend the eeob for a briefing and then move to the residence for a kitchen and garden tour",3
"these folks will be driving into the complex with sec. jewell",3
"these are the members of congress attending the immigration meeting with the president",3
"these are the drivers to the members of congress attending the meeting in the oval office",3
"these are security detail staff who will remain with the vehicle on the south driveway. they will not enter the wh",3
"these are reclears due to incorrect names and birth dates",3
"the visitors are staff of former president clinton and will be joining president clinton on his visit to the white house",3
"the request was received today after 2:30 pm",3
"the names attached will be participating in an awards ceremony held by ambassador michael froman",3
"the meeting is on the state floor",3
"the information for the meeting was just provided by mr. honsa",3
"the individuals could not make their 0830 appointment due to the icy conditions",3
"the event is in the private residence",3
"the deputy secretary of doe and her guests will drive onto w. exec and be escorted by a member of cab affairs from west wing lobby",3
"the attendees have been cleared to attend the monthly security briefing. mr. mark parris is currently on the awaiting pass list",3
"thank you. fysa guests are planning to arrive at 11:45 am",3
"thank you so much!",3
"thank you in advance for your support",3
"thank you for the quick turnaround",3
"thank you and apologies for the quick turnaround!",3
"test",3
"terry lighty jawanza willis jeremiah twardowski",3
"talent reclears at a1",3
"take your daughter to work day",3
"take our child to work day event",3
"swiss delegation",3
"swearingin",3
"sw gate/west wing",3
"supreme court outreach",3
"suppose to be hs",3
"support staff tan; wong remain on state place",3
"steam station replacement meeting",3
"staying at hotel in washington dc",3
"state floor party",3
"state department staff for meeting",3
"staffing the motown event",3
"staffing senator",3
"staffers of senator conrad",3
"staffers for senator brown",3
"staff; remain on state place",3
"staff to remain in car at state place",3
"staff for senator meeting with potuswill hold in ww lobby",3
"staff escorted residence & west wing tour",3
"staff departure photo for martin cuellar",3
"st.patricksreceptionguests",3
"st. patricks reception guests",3
"st. patrick?s day reception dinner for detail",3
"st. patrick's day",3
"ss jason wiser scd to set up piv card machine in eeob41 for bill highsmith scd",3
"special guest will meet inside ww entrance to be escorted to south court aud",3
"speaker boehner and his staff",3
"south lawn marine one",3
"south lawn let's move series today",3
"south lawn basketball court",3
"south grounds access only",3
"sorry late!",3
"social",3
"situation room duty officer",3
"situation room",3
"site visit to review facility spaces maintained by whca",3
"sharon hansen is the interpreter for rachel zinkhan and will assist her in this meeting",3
"sharon hansen is an interpreter",3
"sf merge with appointment # 738979",3
"senator tester and staff",3
"senator snowe staff",3
"sen. reed's family",3
"security screening",3
"secret service mno",3
"second test",3
"second seating in white house mess and visit to the gift shop afterwards",3
"sec. foxx and family will drive onto w. exec. and meet cabinet affairs member at sw gate",3
"schumer is us senator",3
"scheduled lunch at wh mess @ 1300hrs",3
"scalia tour additions",3
"sca potus event",3
"sba attendees for executive conf. room",3
"saudi ambassador",3
"sap america per michelle moore",3
"russian press.",3
"running latere waves",3
"roxanna moussavian",3
"roosevelt room meeting",3
"room number changed to 216 per l.jones . fd2/27/12@ 1401",3
"room number changed per mirranda haan",3
"room number changed per darlene fleming",3
"room number change made atthe request of e. mitsler",3
"room number change made at the request of p. saikia",3
"room number change made at the request of l. hobbs",3
"room number change made at the request of d. coleman",3
"room location change per requestor",3
"room changed per duncan",3
"room changed from 7215 per jones",3
"room changed at the request of the requestor. kdc 6/11 @ 17:43",3
"room change per nisha desai",3
"room change & time change per philip hernandez",3
"room 206",3
"robert jenkins barry lauer and scott malkie",3
"retirement ceremony for col mary l. purdue",3
"resubmitting for someone waiting now",3
"residence group tour",3
"resending in case they miss the deadline to enter at 5 p.m",3
"rescheduled due to the snow day",3
"requestor put wroung date date change for today",3
"requestor chg date and time. mw",3
"requestor called to change time to the appt. 10/22@1130",3
"requestor called to change time to appt. 9/14@0915",3
"requestor called to change time to appt. 8/17@1254",3
"requestor called to change time to appt. 8/.30@0745",3
"requestor called to change time to appt. 7/24@1840",3
"requestor called to change time to appt. 7/18@0929",3
"requestor called to change time to appt. 6/12@1703",3
"requestor called to change time to appt. 3/6@1652",3
"requestor called to change time to appt. 12/6 @ 0927",3
"requestor called to change time to appt. 12/21 @ 1110",3
"requestor called to change time from 2100hrs to 0900hrs dk 1603hrs 01/25/12",3
"requestor called to change time from 1615hrs to 1145hrs dk 1103hrs 12/5/11",3
"requestor called to change time from 1302hrs to 1000hrs dk @ 0953hrs on 10/26/11",3
"requestor called to change time from 1130hrs to 1300hrs dk 01/23/12 1304hrs",3
"requestor called to change the ptbv 4/26@0941/west wing tour",3
"requestor called to change room and location of appt.. 12/1 @ 1705",3
"requestor called to change room #. 2/15@1202...requestor called to change time from 1200hrs to 1230hrs dk 02/16/12 1032hrs",3
"requestor called to change ptbv 6/28@1311/west wing tour",3
"requestor called to change doa 5/9@1232",3
"requestor called to change date of appt. 3/22@1400",3
"requestor called to change date from 02/27/12 to 02/28/12 dk 02/23/12 1715hrs",3
"requestor called to change date from 01/12/12 to 01/11/12 dk 01/11/12 1844hrs",3
"requestor called to change date and time to appt. 5/14@1539",3
"requestor called to cancel 1 name and change time to appt. 5/22@1145/releaseable",3
"requestor called =@ 1323 to change time to appt. changed from 1400 to 1500 to1600",3
"requestor called @10:18 on 10/26 to change room location",3
"requestmerge to u#: u37054",3
"requestmerge to u#: u34706",3
"requestmerge to u#: u10629",3
"request u03833",3
"request u#: u56625",3
"request u#: u46186",3
"request submitted for access to the west wing for the navy mess",3
"request sf merge with appointment # 728175",3
"request sf merge with appointment # 631848",3
"request sf merge with appointment # 629446",3
"request please merge with u# u03891",3
"request is for a west wing tour",3
"request (sf) merge with appointment 625000",3
"request (sf) merge with appointment 623131",3
"request (sf) merge with appointment 621568",3
"request (sf) merge with appointment 614544",3
"request (sf) merge with appointment # 702707",3
"request (sf) merge with appointment # 700188",3
"request (sf) merge with appointment # 698039",3
"request (sf) merge with appointment # 687089",3
"request (sf) merge with appointment # 685633",3
"request (sf) merge with appointment # 676116",3
"request (sf) merge with appointment # 663915",3
"request (sf) merge with appointment # 658660",3
"request (sf) merge with appointment # 650809",3
"request (sf) merge with appointment # 642924",3
"request (sf) merge with appointment # 641595",3
"request (sf) merge with appointment # 641231",3
"request (sf) merge with appointment # 608906",3
"request (sf) merge with appointment # 603675",3
"request (sf) merge with appointment # 600756",3
"request (sf) merge with appointment # 599718",3
"request (sf) merge with appointment # 599454",3
"request (sf) merge with appointment # 596808",3
"request (sf) merge with appointment # 594057",3
"request (sf) merge with appointment # 589921",3
"request (sf) merge with appointment # 581410",3
"request (sf) merge with appointment # 580866",3
"request (sf) merge with appointment # 580231",3
"request (sf) merge with appointment # 580047",3
"request (sf) merge with appointment # 572975",3
"request (sf) merge with appointment # 564551",3
"request (sf) merge with appointment # 564435",3
"request (sf) merge with appointment # 562551",3
"request (sf) merge with appointment # 557864",3
"reps. attending bill signing",3
"releasable",3
"reclearwarner is name flip and dob delores is last name misspell and dob and laura is just dob",3
"reclearstwo are dob and phyllis is a last name reclear",3
"reclearsall of the last names were misspelled",3
"reclears. names were spelled incorrectly",3
"reclears from talent group this morning",3
"reclearing due to misspelled names",3
"reclearing as an appointment",3
"recleardob maybe?",3
"reclearaqueelah and barry are dob. betty is a last name reclear",3
"reclear wrong last name",3
"reclear wrong birthdate",3
"reclear waves expird",3
"reclear u#: u99866",3
"reclear thank you!",3
"reclear misspelled name",3
"reclear from u649729",3
"reclear from earlier u#: u11309appointment #: 649983",3
"reclear corrected birthdates",3
"reclear (dob)",3
"recelar",3
"received now approval...",3
"ptbv called to change time to appt. 3/18@1802west wing tour",3
"ptbv called to change time to appt. 3/18@1705 west wing tour",3
"providing the navy personnel with bystander intervention to the fleet training",3
"promotion",3
"prior clear until 3:00 pm need to reclear. thanks you",3
"prep mtg for mtg with saic vpd and to obtain their eeob pass",3
"ppd/pid brief w16",3
"potus will not be in the office and tsd is escorting the individuals",3
"potus citizens medal ceremony",3
"potus appt",3
"potus- general reception",3
"post office box deliverers",3
"poncioniconsuegramerian",3
"poc rodney lewis",3
"poc edmond babineauneobramp area/loading dock",3
"pls grant scott astrada access to this waves",3
"please merge with waves appointment number u77178",3
"please make sure they are cleared for the northwest gate",3
"please leave my first initial. it's how i appear in the system. taking child to daycare",3
"please leave my first initial. it's how i appear in the system. picking up child from daycare",3
"please expedite",3
"please clear through northwest gate",3
"please clear through ne gate",3
"please clear for entry through ne gate",3
"please check most uptodate exceptions list (3/2 list)",3
"please attached the waves list to u#: u46255. thanks",3
"please also wave for 1pm and 7:30pm",3
"please allow regina kearney access to this waves request",3
"pittsburgh penguins event",3
"pid / whmo kenya meeting",3
"picking up fob",3
"photo with the president",3
"photo office",3
"phil coyle and family departure photo w/ potus",3
"ph request time adjustment",3
"petty officer milan will be arriving with his guests (his family) at 12pm",3
"person to be visited changed",3
"person to be visited change made at the request of d. selak",3
"per stephanie lee to chg time and date of the appt. mw",3
"per sara feuerstein chg time on the appt. mw",3
"per requestor time appt rm and location change",3
"per post chg time. mw",3
"per namrata kolachalam chg the phone no. mw",3
"per mr. wear chg the appt .mw",3
"per marie aberger chg time on the appt. mw",3
"per kyle time changed from 1300 to 1530",3
"per kyle lierman time changed from 11am to 3pm @ 2:33pm on 1/16/11yst",3
"per kasie coccaro chg date.mw/time changed from 1000 to 1100",3
"per groslyn burton chg location on the appt. mw",3
"per denise jones chg time. mw",3
"per alexandra kahan chg time on the appt. mw",3
"penland family",3
"pelase let them thru the west exec visitors entrance for bowling",3
"participating in whmy physician selection interviews",3
"participants for the marine one departure",3
"parking on state placedriver will enter complex and assist with pickup",3
"parking on state place and entering the west wing for briefing in whsr",3
"parking on state place- drivers to remain w/vehicle",3
"pag representative",3
"p/h requested time adjustkment",3
"oval drop-by with the potus",3
"ornament making activity",3
"originally waved in for the wrong date",3
"original time incorrect to participate in the marine one departure by donna coleman",3
"original request (by either mika rothman or taylor lustig) about to time out",3
"original appointment was 12/9. new delivery date is 12/11",3
"org submitted as res. potus appt actually should have been ww mess (potus not in attendace)",3
"ope recep 2",3
"old u13629",3
"oil spill commision",3
"office visit",3
"off duty opc volunteer annual trip to gift shop",3
"ofcio pbc meeting with brazilian government delegation on federal budget communication and information",3
"now please. thank you! west wing tour",3
"note: this is for a lunch meeting at navy mess so the appointment guests should be able to enter from either east or west gates. thank you!",3
"note: steve israel is a u.s. congressman",3
"note that these guests will enter through the east wing and then proceed to the navy mess",3
"noon reservation at mess for four (4). wh pass holder marilyn ann quagliotti",3
"non law enforcement drivers for the governor dinner in the state dining room",3
"no first lady involvement, just staff",3
"nhl champions pittsburgh penguins",3
"nga/gov staff coming for post meeting media avail",3
"new personnel inprocessing and awaiting badge",3
"new member awaiting mil badge",3
"new hires without eop pass to access eeob",3
"new hires without eop pass",3
"new hire orientation",3
"new clear",3
"neob gym gift shop",3
"neob cafeteria retirement party attendee",3
"navy mess ground floor of west wing",3
"naval officer interviews for two billets in ppr",3
"national alliance of state & territorial aids directors",3
"names will be resubmitted by the tours office- res tour spoke w/ passholder (reeder) and k.seighman to verify info",3
"names merged to u83333",3
"names for the marine one south lawn departure on may 6 2011",3
"name swap reclear",3
"name merged to u81599",3
"name flips reclear",3
"name flip reclear",3
"my family is coming to my office& we are going to navy mess for lunch to celebrate my birthday",3
"music for thanksgiving event. the president will be there, but the band will not be within arms reach the president. usher's office at 6-2",3
"mtg with chief of staff",3
"msg dwayne williams will be there to assist with escorts",3
"msg dwayne williams will assist with escorts",3
"moved time per requestor",3
"month and date change per andreas kinn",3
"mohammed alamfor point of connect",3
"mistake in appointment # 589491. needs to be in wh (east room). changes are reflected in this appointment",3
"missed 1115 appointment resubmitted",3
"military family departure photo w/potus",3
"mess time charged per requestor",3
"mess reservation**",3
"merget (sf) merge with appointment # 642652",3
"merge(sf) merge with appointment 626108",3
"merge(sf) merge with appointment # 670020",3
"merge to u84688",3
"merge to u34695",3
"merge (sf) merge with appointment # 646810",3
"mentees arriving",3
"members are the security for admiral winnifield (northcom commander)",3
"member of congress and staff",3
"member of congress and his staff",3
"meetingref:housing",3
"meeting...requestor called to change time from 1300hrs to 1100hrs dk 1109hrs 12/15/11",3
"meeting with whmu and ddir whmo",3
"meeting with thanks usa",3
"meeting with staff from the water and power branch",3
"meeting with staff from ombs interior branch",3
"meeting with patrick gaspard",3
"meeting with omb deputy associate director for energy science and water",3
"meeting with nsa rice",3
"meeting with kate balcerzak",3
"meeting with jon carson director of the office of public engagement",3
"meeting with jason",3
"meeting with faa staff",3
"meeting with east wing staff and crew",3
"meeting with deputy director whmu in white house mess business meeting",3
"meeting with contractor",3
"meeting with canon medical service representatives",3
"meeting with brian bond",3
"meeting with alicia keys",3
"meeting with adc",3
"meeting will be in john brennan's office",3
"meeting was moved from 10 to 11",3
"meeting to discuss whca communications. apologise for the short notice",3
"meeting staff to depart for vp overseas travel",3
"meeting on behalf of chairman austan goolsbee",3
"meeting may last up to 4 hours",3
"meeting is originally set in east wing. however in case the meeting has to be moved to eeob i suggest this appointment to be allowed entry",3
"meeting in the wh navy mess",3
"meeting in the main kitchen",3
"meeting in the east wing of the white house",3
"meeting in new oa space room numbers on have 3 digits",3
"meeting in ew 102 and east wing only",3
"meeting attendance in support of the whca secure voice network",3
"meeting attendance",3
"meeting and lunch at the eeob and white house with the milaide to the vp",3
"meetig with omb director shaun donovan",3
"meet with jess and jeff",3
"meet on west exec. ave",3
"meet in east wing before going to marine one ceremony",3
"meeitng with ombs associate director for natural resources energy and science",3
"medical consult",3
"mcdonough's children",3
"mayor of dc plus staff",3
"may also visit the eeob before or after their 1:15 mess resevation",3
"max doebler",3
"martin cuellar departure photo with the president",3
"marrine one departure",3
"marine pianist",3
"marine oneisaac faz",3
"marine onedana singiser",3
"marine one/joan romaine",3
"marine one/ changed appt to marine one per dawn mielketime change",3
"marine one...time changed per requestor",3
"marine one per heather martin",3
"marine one landing/takeoff",3
"marine one departure on may 16th @ 5:30 p.m",3
"marine one departure - south lawn",3
"marine one departue",3
"marine one ceremonytime and location change at the request of the requestor. kdc 11/22 9:12",3
"marine one ceremony where do they enter? thank you!",3
"marine one ceremony south lawn",3
"marine one ceremony on south lawn/time change made at the request of the requestor",3
"marine one ceremony confirmation south lawn",3
"marine one celebration",3
"marine one /requestor called to change time & location to appt. 1/4/12 @ 0930",3
"marine band performing at a reception",3
"marine 1 south grounds",3
"mareine one ceremony",3
"making sure that family was cleared in for the holloween events",3
"make a wish visit. entering east wing prior to oval office visit",3
"maintenance appointment",3
"lunch/meeting with joe jordan",3
"lunch with louisa",3
"lunch with interns at ikes eatery",3
"lunch w/sgm tina gray in the navy mess",3
"lunch in ww mess",3
"lunch in wh navy ness",3
"lunch in west wing mess room",3
"lunch at ww mess",3
"lunch at white house mess. //updated time per requestor",3
"lunch at west wing navy mess",3
"lunch at the white house mess in the dining room",3
"lunch at the mess releasable",3
"lunch at the mess (west wing)",3
"lunch appt",3
"lunch appointment at the wh mess",3
"lunch appmnt in navy mess room in ww",3
"louis pappas departure photo",3
"location: south lawn",3
"location/room/time change per requestor",3
"location/room change per requestor",3
"location changed per requestor to ww",3
"location change to ww requested by gonzalez/ 1203hrs jla",3
"location change requested by espinel. jla @ 1337hrs 10/11/11",3
"location change per rquestor",3
"location change per lopez",3
"location change per d. jones",3
"location change made at the request of c. vandenburg",3
"location and time changes were made at the request of j. duncan",3
"location and room number changes made at the request of r. migliara",3
"location and room number changed per n.hart fd 3/12/12@ 1539",3
"location and room changed per k. miterko",3
"location and room change per edward haubrich",3
"location & room number changed per requestor",3
"lily carson is just a few weeks old and does not have an ssn",3
"lieutenant governor duffy (ny) and his two staff",3
"left off of group",3
"leadership for marine forces to visit marine post standers",3
"law library",3
"lauren kelly requested to move app time",3
"last minute requests to attend briefings",3
"last minute additions from the department of energy",3
"last first and middle were all incorrectly inverted. reclears for this group",3
"labor leaders meeting",3
"korean amb to the us",3
"kitchen garden volunteers",3
"kildee is us congressman",3
"kids day! need access to neob and eeob",3
"kids day ! they will need access to the neob also",3
"ken kelly's retirement party",3
"just received waves request",3
"just received the info this morning from dr. mesfin",3
"just got timing from scheduling",3
"just cleared for waves u99569 today",3
"joyce raezer/time change per lewis",3
"jose andres think food group",3
"joel reyes",3
"job interview",3
"jf",3
"jeffrey scott ketterling kathleen cichon brett lesser",3
"jeffrey ketterling theresa arnold jonathan hogan",3
"jeff zients jerry abramson",3
"jeff ketterling theresa arnold jonathan hogan",3
"jacob is a last name and dob reclear. alex is a first name reclear (alejandro was originally submitted) and danelle is a last name reclear (o",3
"itc christopher boyson and tsgt emma bolton are required to attend a meeting in the neob",3
"islamic brieifng by ope",3
"interviews with whmo director and deputy director",3
"interview with jasmin towner",3
"interview with deysi camacho",3
"interview with brionna gray",3
"interview with briana walker",3
"interpreters",3
"interpretation equipment staff./ time and room number change per clare gallagher",3
"interns visting the white house gift store",3
"intern meeting with andre labitsky to pick up smart card",3
"intern checkout last day",3
"inspection of where water damage occurred",3
"info",3
"individuals are from the department of education",3
"individuals are awaiting milbadges",3
"if you have questions regarding this waves appointment please call darnell salley or adam sayre",3
"if you have questions please contact darnell salley/time changed per requestor",3
"i just received the information for the meeting",3
"i am requesting permission to clear visitors within this timeframe",3
"hosting lunch at the navy mess",3
"hmx1 arrival/departure viewing",3
"hmx whmo orientation",3
"hearst magazine event with potus",3
"healthcare briefing",3
"health deputies weekly meetings",3
"haymarket",3
"having lunch with friends at the ike cafeteria in the eeob",3
"hanukkah recep",3
"guests will enter via the northeast (ne) gate",3
"guests will be meeting in the east wing of the wh for a dod coordination meeting. room 210",3
"guests should have been part of u80527 submitted by cynthia vandenberg",3
"guests previously cleared. misspelled names and dobs. u#: u10077 // appointment #: 648534",3
"guests part of group but not on list",3
"guests of members of congress",3
"guests of marilyn a. quagliotti at the white house mess",3
"guests of deputy director mary lou leary",3
"guests not part of group tourclears",3
"guests information was originally put in incorrectly",3
"guests for marine one landing on south lawn",3
"guests for lunch at the wh mess",3
"guests are for the marine one arrival at 3:30pm **updated location per requester",3
"guest made a typo in previous submission appt# 699240please use this one as the new appointment submission",3
"guest left off of listclears",3
"guest has been approved (last minute) for access to south lawn via palm room",3
"guest for marine one viewing",3
"group tour wrong last name",3
"group tour were cleared for 930am yesterday",3
"group tour reclears names inverted",3
"group tour reclears all dob",3
"group tour reclear wrong last names",3
"group tour reclear wrong dobs for all 3",3
"group tour reclear name misspellings",3
"group tour reclear name issues",3
"group tour reclear last name misspell",3
"group tour reclear dob for hamilton and sanchez wrong first name for havener",3
"group tour reclear dob and name",3
"group tour reclear came a day later than their tour was scheduled",3
"group tour names and dob",3
"group tour name rclr",3
"group tour name misspell",3
"group tour name flip reclear",3
"group tour hill coordinator submitted wrong names for wrong day (guests have confirmation)",3
"group tour full names are hassunamohabdulwadd baishu wailabdullaho baiod and sanakamals azzurgani",3
"group tour expired appointment",3
"group tour dob anne. names kaden & addison",3
"group tour dob & name",3
"group tour clears youth left off list",3
"group tour clear: left off school group list",3
"group tour clear dropped from large list",3
"group tour clear (both) left off school group",3
"group of foreign students",3
"governors staff",3
"governor patricks driver, detail and staff",3
"governor of south carolina",3
"governor of pr",3
"governor markell (de) and staff",3
"governor markell (de) and his staff",3
"governor herberts staff",3
"gov doyle's detail",3
"going to room 580",3
"global environment awareness summit",3
"gift shop visit for german friends",3
"generatoins united meeting",3
"general john r. allen (iron gate status) lunch with doug lute in the wh navy mess",3
"garcia padilla is the governor of puerto rico",3
